INDEX_STORE,CUSTOMER,STORE_ID_CUST,STORE_NAME_CUST,CUSTOMER_NAME,STORE_ID,STORE_NAME,PROVINCE,STORE_TYPE,REGION,CHANNEL,Latitude,Longitude,STORE_SIZE,HUB_STORE,TOP_STORE,STORE_RANK,REMARK
MK-85,MK,85,บมจ.ซีพี แอ็กซ์ตร้า สาขาทุ่งสง,Makro,S00518,MK-THUNGSONG-NAKHONSITHAMMARAT,NAKHONSITHAMMARAT,STORE,SOUTH,MDT,8.158796,99.66552,,,N/A,,
MK-44,MK,44,บมจ.ซีพี แอ็กซ์ตร้า สาขาพัทยา,Makro,S00523,MK-PATTAYA-CHONBURI,CHONBURI,STORE,WEST&EAST,MDT,12.897791,100.894919,ECO+B,,N/A,,
MK-131,MK,131,บมจ.ซีพี แอ็กซ์ตร้า สาขาบ่อวิน,Makro,S00535,MK-BORWIN-CHONBURI,CHONBURI,STORE,WEST&EAST,MDT,13.332,101.419,,,N/A,,
MK-164,MK,164,บมจ.ซีพี แอ็กซ์ตร้า สาขาชัยนาท,Makro,S00540,MK-CHAINAT,CHAINAT,STORE,WEST&EAST,MDT,15.129,100.151,,,N/A,,
MK-162,MK,162,บมจ.ซีพี แอ็กซ์ตร้า สาขาอมตะนคร 2,Makro,S00562,MK-AMATANAKHON_2-CHONBURI,CHONBURI,STORE,WEST&EAST,MDT,13.425557,101.0037304,,,N/A,,
MK-74,MK,74,บมจ.ซีพี แอ็กซ์ตร้า สาขาปากช่อง,Makro,S00578,MK-PAKCHONG-NAKHONRATCHASRIMA,NAKHONRATCHASIMA,STORE,NORTHEAST,MDT,14.649287,101.408814,ECO+B,,N/A,,
MK-63,MK,63,บมจ.ซีพี แอ็กซ์ตร้า สาขานครพนม,Makro,S00601,MK-NAKHONPHANOM,NAKHONPHANOM,STORE,NORTHEAST,MDT,17.388069,104.76754,CLASSIC B,,N/A,,
MK-75,MK,75,บมจ.ซีพี แอ็กซ์ตร้า สาขาถลาง,Makro,S00603,MK-THALANG-PHUKET,PHUKET,STORE,SOUTH,MDT,8.020223,98.334915,ECO+B,,N/A,,
MK-128,MK,128,บมจ.ซีพี แอ็กซ์ตร้า สาขากบินทร์บุรี,Makro,S00629,MK-KRABINBURI-PRACHINBURI,PRACHINBURI,STORE,WEST&EAST,MDT,13.999,101.77,ECO+B,,N/A,,
MK-156,MK,156,บมจ.ซีพี แอ็กซ์ตร้า สาขาสมุทรปราการ,Makro,S00630,MK:SAMUTPRAKAN,SAMUTPRAKAN,STORE,BKK CENTRAL,MDT,13.653637,100.640386,,,N/A,,
MK-159,MK,159,บมจ.ซีพี แอ็กซ์ตร้า สาขาอุดรธานี 2 (บ้านเลื่อม),Makro,S00632,MK-BAN_LUEAM(UDON2)-UDONTHANI,UDONTHANI,STORE,NORTHEAST,MDT,17.390006,102.816856,,,N/A,,
MK-114,MK,114,บมจ.ซีพี แอ็กซ์ตร้า สาขาสิงห์บุรี,Makro,S00644,MK-SINGBURI,SINGBURI,STORE,WEST&EAST,MDT,14.888068,100.429424,,,N/A,,
MK-153,MK,153,บมจ.ซีพี แอ็กซ์ตร้า สาขาเวียงสระ,Makro,S00667,MK-WEING_SA-SURATTHANI,SURATTHANI,STORE,SOUTH,MDT,9.121232,99.339083,,,N/A,,
MK-35,MK,35,บมจ.ซีพี แอ็กซ์ตร้า สาขากระบี่,Makro,S00675,MK-KRABI,KRABI,STORE,SOUTH,MDT,8.117714,98.872269,ECO+ C,,N/A,,
MK-160,MK,160,บมจ.ซีพี แอ็กซ์ตร้า สาขามหาชัย,Makro,S00683,MK:MAHACHAI-SAMUTSAKHON,SAMUTSAKHON,STORE,WEST&EAST,MDT,13.569461,100.303368,,,N/A,,
