INDEX_MODEL,CUSTOMER,SKU_NO,BARCODE,SKU_NAME,MODEL,SKU_TYPE,USE_SELLOUT,USE_STOCK,CHK_CAT,CHK_SUB_CAT,SIZE,REMARK,REMARK
MK-841673-,MK,841673,,#ต.เย็น2ต. 7.8Q. HAIER#HRF-TMB22N,HRF-TMB22N,SELLABLE,,,RF,2Dr,7.8Q,,
MK-857629-8855671017152,MK,857629,8.85567E+12,#ตู้เย็น2D 7.8Q HAIER #HRF-TMB22N,HRF-TMB22N,SELLABLE,,,RF,2Dr,7.8Q,,
MK-841674-8855671017282,MK,841674,8.85567E+12,#ต.เย็น2ต. 8.6Q. HAIER#HRF-TMB24I,HRF-TMB24I MB,SELLABLE,,,RF,2Dr,0,,
MK-891022-,MK,891022,,#ต.เย็น1ต.5.5QHAIER#HR-HM15PB,HR-HM15 PB,SELLABLE,,,RF,1Dr,5.5Q,,
MK-862574-,MK,862574,,ต.เย็น1ต.5.5QHAIER#HR-HM15 PS/PB,HR-HM15 PS,SELLABLE,,,RF,1Dr,5.5Q,,
MK-909936-8855671022897,MK,909936,8.85567E+12,ต.เย็น1ต.5.6Q HAIER#HR-HM15 PS,HR-HM15 PS,SELLABLE,,,RF,1Dr,5.5Q,,
MK-891869-,MK,891869,,#ตู้เย็น1D 6.8Q HAIER #HR-HM18PB,HR-HM18 PB,SELLABLE,,,RF,1Dr,6.8Q,,
MK-928173-8859474604113,MK,928173,8.85947E+12,HAIER ต.เย็น 1ต #HR-SD149M 5.3Q,HR-SD149M MB,SELLABLE,,,RF,1Dr,5.3Q,,
MK-930559-8859474604120,MK,930559,8.85947E+12,HAIER ต.เย็น 1ต. 6.6Q #HR-SD189M,HR-SD189M MB,SELLABLE,,,RF,1Dr,6.6Q,,
MK-901272-,MK,901272,,#ค.ปรับอากาศ HAIER #HSU-09CQRA03T,HSU-09CQRA03T,SELLABLE,,,AC,Fix Speed,9KBTU,,
MK-914855-8855671029421,MK,914855,8.85567E+12,#HAIERปรับอากาศHSU09CQRB03T_NO IN,HSU-09CQRB03T,SELLABLE,,,AC,Fix Speed,9KBTU,,
MK-854924-,MK,854924,,#ค.ปรับอากาศHAIER HSU-09VNS03T,HSU-09VNS03T,SELLABLE,,,AC,Inverter,9KBTU,,
MK-914858-,MK,914858,,#ค.ปรับอากาศ HAIER #HSU-09VQRA03T,HSU-09VQRA03T,SELLABLE,,,AC,Inverter,9KBTU,,
MK-925014-8855671032339,MK,925014,8.85567E+12,#HAIERปรับอากาศHSU09VQRC03T_NO IN,HSU-09VQRC03T,SELLABLE,,,AC,Inverter,9KBTU,,
MK-901275-,MK,901275,,#ค.ปรับอากาศ HAIER #HSU-09VTRA03T,HSU-09VTRA03T,SELLABLE,,,AC,Inverter,9KBTU,,
MK-925011-8855671032438,MK,925011,8.85567E+12,#HAIERปรับอากาศHSU10CQRD03T_NO IN,HSU-10CQRD03T,SELLABLE,,,AC,Fix Speed,10KBTU,,
MK-901273-,MK,901273,,#ค.ปรับอากาศ HAIER #HSU-12CQRA03T,HSU-12CQRA03T,SELLABLE,,,AC,Fix Speed,12KBTU,,
MK-914856-,MK,914856,,#ค.ปรับอากาศ HAIER #HSU-12CQRB03T,HSU-12CQRB03T,SELLABLE,,,AC,Fix Speed,12KBTU,,
MK-891150-,MK,891150,,#HAIER ค.ปรับอากาศ #HSU-12CTB03T,HSU-12CTB03T,SELLABLE,,,AC,Fix Speed,12KBTU,,
MK-854925-,MK,854925,,#ค.ปรับอากาศHAIER HSU-12VNS03T,HSU-12VNS03T,SELLABLE,,,AC,Inverter,12KBTU,,
MK-914859-,MK,914859,,#ค.ปรับอากาศ HAIER #HSU-12VQRA03T,HSU-12VQRA03T,SELLABLE,,,AC,Inverter,12KBTU,,
MK-925015-8855671032490,MK,925015,8.85567E+12,#HAIERปรับอากาศHSU12VQRC03T_NO IN,HSU-12VQRC03T,SELLABLE,,,AC,Inverter,12KBTU,,
MK-891151-,MK,891151,,#HAIER ค.ปรับอากาศ #HSU-12VTRA03T,HSU-12VTRA03T,SELLABLE,,,AC,Inverter,12KBTU,,
MK-901276-,MK,901276,,#ค.ปรับอากาศ HAIER #HSU-12VTRA03T,HSU-12VTRA03T,SELLABLE,,,AC,Inverter,12KBTU,,
MK-925012-8855671031936,MK,925012,8.85567E+12,#HAIERปรับอากาศHSU13CQRD03T_NO IN,HSU-13CQRD03T,SELLABLE,,,AC,Fix Speed,13KBTU,,
MK-854923-,MK,854923,,#ค.ปรับอากาศHAIER HSU-13CTR03T(H),HSU-13CTR03T(H),SELLABLE,,,AC,Fix Speed,13KBTU,,
MK-914860-,MK,914860,,#ค.ปรับอากาศ HAIER #HSU-15VQRA03T,HSU-15VQRA03T,SELLABLE,,,AC,Inverter,15KBTU,,
MK-925016-8855671032094,MK,925016,8.85567E+12,#HAIERปรับอากาศHSU15VQRC03T_NO IN,HSU-15VQRC03T,SELLABLE,,,AC,Inverter,15KBTU,,
MK-901274-,MK,901274,,#ค.ปรับอากาศ HAIER #HSU-18CQRA03T,HSU-18CQRA03T,SELLABLE,,,AC,Fix Speed,18KBTU,,
MK-914857-,MK,914857,,#ค.ปรับอากาศ HAIER #HSU-18CQRB03T,HSU-18CQRB03T,SELLABLE,,,AC,Fix Speed,18KBTU,,
MK-925013-8855671032452,MK,925013,8.85567E+12,#HAIERปรับอากาศHSU18CQRD03T_NO IN,HSU-18CQRD03T,SELLABLE,,,AC,Fix Speed,18KBTU,,
MK-854926-,MK,854926,,#ค.ปรับอากาศHAIER HSU-18VNS03T,HSU-18VNS03T,SELLABLE,,,AC,Inverter,18KBTU,,
MK-914861-,MK,914861,,#ค.ปรับอากาศ HAIER #HSU-18VQRA03T,HSU-18VQRA03T,SELLABLE,,,AC,Inverter,18KBTU,,
MK-925017-8855671032117,MK,925017,8.85567E+12,#HAIERปรับอากาศHSU18VQRC03T_NO IN,HSU-18VQRC03T,SELLABLE,,,AC,Inverter,18KBTU,,
MK-901278-,MK,901278,,#ค.ปรับอากาศ HAIER #HSU-18VTRA03T,HSU-18VTRA03T,SELLABLE,,,AC,Inverter,18KBTU,,
MK-915185-,MK,915185,,#ค.ปรับอากาศ HAIER #HSU-18VTRA03T,HSU-18VTRA03T,SELLABLE,,,AC,Inverter,18KBTU,,
MK-854927-,MK,854927,,#ค.ปรับอากาศHAIER HSU-24VNS03T,HSU-24VNS03T,SELLABLE,,,AC,Inverter,24KBTU,,
MK-925018-8855671032131,MK,925018,8.85567E+12,#HAIERปรับอากาศHSU24VQRC03T_NO IN,HSU-24VQRC03T,SELLABLE,,,AC,Inverter,24KBTU,,
MK-914862-,MK,914862,,#ค.ปรับอากาศ HAIER #HSU-30VQAC03T,HSU-30VQAC03T,SELLABLE,,,AC,Inverter,30KBTU,,
MK-923866-8855671031776,MK,923866,8.85567E+12,ค.ซักผ้า2T13KG HAIER#HTW130-1217B,HTW130-1217BS,SELLABLE,,,WM,Twin Tub,13.0KG,,
MK-923868-8855671031417,MK,923868,8.85567E+12,ค.ซักผ้า2T15KG HAIER#HTW150-1217B,HTW150-1217BS,SELLABLE,,,WM,Twin Tub,15.0KG,,
MK-930563-8855671030366,MK,930563,8.85567E+12,HAIER ค.ซัก2ถัง 9กก #HTW90-1217BS,HTW90-1217BS,SELLABLE,,,WM,Twin Tub,9.0KG,,
MK-849054-8855671020701,MK,849054,8.85567E+12,#คซผ.หยอดเหรียญHAIERHW100-BP10HBI,HW100-BP10HBI,SELLABLE,,,WM,Front Load,10.0KG,,
MK-909628-,MK,909628,,#คซผ.ฝาหน้า12KGHAIER#HW120-BP1495,HW120-BP14959S6,SELLABLE,,,WM,Front Load,12.0KG,,
MK-844668-8855671017039,MK,844668,8.85567E+12,#ค.ซักผ้าฝ.น7กก.HAIER#HW70BP10829,HW70-BP10829,SELLABLE,,,WM,Front Load,7.0KG,,
MK-849055-8855671020718,MK,849055,8.85567E+12,#คซผ.หยอดเหรียญHAIER#HW80-BP10HBI,HW80-BP10HBI,SELLABLE,,,WM,Front Load,8.0KG,,
MK-921614-8855671028752,MK,921614,8.85567E+12,ค.ซักฝาหน้า8KGHAIER#HW80-BP12929A,HW80-BP12929A,SELLABLE,,,WM,Front Load,8.0KG,,
MK-921613-8855671028769,MK,921613,8.85567E+12,ค.ซักฝาหน้า9.5KG HAIER#HW95-BP149,HW95-BP14929AS6,SELLABLE,,,WM,Front Load,9.5KG,,
MK-921616-8855671025065,MK,921616,8.85567E+12,ค.ซักอบ10/6HAIER#HWD100-BP14959S8,HWD100-BP14959S8,SELLABLE,,,WM,FL Wash&Dry,10.0/6.0KG,,
MK-847730-,MK,847730,,#ค.ซักผ้าหยอดเหรียญ HAIER HWM100,HWM100,SELLABLE,,,WM,Front Load,10.0KG,,
MK-841677-8855671014656,MK,841677,8.85567E+12,#ค.ซักผ้า1ถ10KGHAIER#HWM100-1826T,HWM100-1826T,SELLABLE,,,WM,Top Load,10.0KG,,
MK-893571-8855671026017,MK,893571,8.85567E+12,ค.หยอดเหรียญ10KHAIER HWM100-1826,HWM100-1826T,SELLABLE,,,WM,Top Load,10.0KG,,
MK-917757-8855671016971,MK,917757,8.85567E+12,ค.ซักผ้า1T10KG HAIER#HWM100-1826T,HWM100-1826T,SELLABLE,,,WM,Top Load,10.0KG,,
MK-847731-,MK,847731,,#ค.ซักผ้าหยอดเหรียญ HAIER HWM120,HWM120,SELLABLE,,,WM,Top Load,12.0KG,,
MK-854116-8855671019354,MK,854116,8.85567E+12,ค.ซักผ้า2T12KG HAIER#HWM120 OXIGB,HWM120,SELLABLE,,,WM,Top Load,12.0KG,,
MK-841678-8855671014663,MK,841678,8.85567E+12,#ค.ซักผ้า1ถ12KGHAIER#HWM120-1826T,HWM120-1826T,SELLABLE,,,WM,Top Load,12.0KG,,
